Time (s),Pitch (deg),kp,kd,Correction (deg)
0.00682520866394043,0.0625,25.4,2.3,-0.0625
0.04024243354797363,0.0625,25.4,2.3,-0.0625
0.056917428970336914,0.375,25.4,2.3,-0.37500000000000006
0.07201218605041504,0.75,25.4,2.3,-0.7500000000000001
0.08790230751037598,0.875,25.4,2.3,-0.875
0.10293841361999512,1.1875,25.4,2.3,-1.1875
0.11978507041931152,1.3125,25.4,2.3,-1.3125
0.15485906600952148,4.75,25.4,2.3,-4.75
0.17090201377868652,4.4375,25.4,2.3,-4.4375
0.2068922519683838,4.3125,25.4,2.3,-4.3125
0.24173903465270996,3.5,25.4,2.3,-3.5
0.25786423683166504,2.9375,25.4,2.3,-2.9375
0.2729923725128174,2.8125,25.4,2.3,-2.8125
0.2909102439880371,2.75,25.4,2.3,-2.75
0.3067793846130371,2.8125,25.4,2.3,-2.8125
0.3409006595611572,2.875,25.4,2.3,-2.875
0.3776054382324219,2.625,25.4,2.3,-2.625
0.39492011070251465,2.0,25.4,2.3,-2.0
0.4304955005645752,2.125,25.4,2.3,-2.125
0.44613146781921387,2.75,25.4,2.3,-2.75
0.46294116973876953,3.3125,25.4,2.3,-3.3125
0.4778916835784912,3.5,25.4,2.3,-3.5
0.4929080009460449,3.75,25.4,2.3,-3.7499999999999996
0.5292925834655762,3.625,25.4,2.3,-3.6250000000000004
0.5642702579498291,2.625,25.4,2.3,-2.625
0.6006102561950684,2.1875,25.4,2.3,-2.1875
0.6359813213348389,1.5,25.4,2.3,-1.5000000000000002
0.6718347072601318,1.25,25.4,2.3,-1.25
0.6871273517608643,1.3125,25.4,2.3,-1.3125
0.7220923900604248,1.375,25.4,2.3,-1.375
0.7367217540740967,1.3125,25.4,2.3,-1.3125
0.7722563743591309,1.0,25.4,2.3,-1.0
0.8062546253204346,0.5,25.4,2.3,-0.5
0.8419091701507568,0.0,25.4,2.3,-0.0
0.877178430557251,-0.0625,25.4,2.3,0.0625
0.9121098518371582,-0.4375,25.4,2.3,0.4375
0.9483683109283447,-1.125,25.4,2.3,1.125
0.9821858406066895,-2.0,25.4,2.3,2.0
0.9997453689575195,-2.3125,25.4,2.3,2.3125
1.0356311798095703,-2.3125,25.4,2.3,2.3125
1.0720298290252686,-2.4375,25.4,2.3,2.4375
1.0867369174957275,-2.6875,25.4,2.3,2.6875
1.1007137298583984,-2.8125,25.4,2.3,2.8125
1.138169765472412,-2.9375,25.4,2.3,2.9375
1.152707576751709,-3.875,25.4,2.3,3.875
1.169787883758545,-4.1875,25.4,2.3,4.1875
1.187150239944458,-4.875,25.4,2.3,4.875
1.2027158737182617,-5.5625,25.4,2.3,5.5625
1.2187016010284424,-5.875,25.4,2.3,5.875
1.2548701763153076,-6.5,25.4,2.3,6.5
1.270833969116211,-7.3125,25.4,2.3,7.3125
1.287996530532837,-7.5,25.4,2.3,7.499999999999999
1.304945468902588,-7.625,25.4,2.3,7.625
1.3402800559997559,-7.625,25.4,2.3,7.625
1.357884407043457,-7.75,25.4,2.3,7.75
1.3920469284057617,-8.0625,25.4,2.3,8.0625
1.428717851638794,-8.8125,25.4,2.3,8.8125
1.443751335144043,-9.6875,25.4,2.3,9.6875
1.4624090194702148,-9.9375,25.4,2.3,9.9375
1.4983527660369873,-10.5,25.4,2.3,10.5
1.514028787612915,-10.9375,25.4,2.3,10.9375
1.5507938861846924,-10.9375,25.4,2.3,10.9375
1.5854835510253906,-10.8125,25.4,2.3,10.8125
1.6022322177886963,-10.0625,25.4,2.3,10.0625
1.6177048683166504,-9.875,25.4,2.3,9.875
1.6340155601501465,-9.6875,25.4,2.3,9.6875
1.6709907054901123,-9.6875,25.4,2.3,9.6875
1.7049508094787598,-9.5,25.4,2.3,9.5
1.7206971645355225,-9.1875,25.4,2.3,9.1875
1.7346789836883545,-8.8125,25.4,2.3,8.8125
1.7529802322387695,-8.6875,25.4,2.3,8.6875
1.7898547649383545,-8.8125,25.4,2.3,8.8125
1.8050532341003418,-8.9375,25.4,2.3,8.9375
1.8417253494262695,-8.5,25.4,2.3,8.5
1.857682704925537,-7.375,25.4,2.3,7.375000000000001
1.873915672302246,-6.8125,25.4,2.3,6.8125
1.8897085189819336,-6.625,25.4,2.3,6.625
1.9241995811462402,-6.25,25.4,2.3,6.25
1.9610810279846191,-5.0625,25.4,2.3,5.0625
1.994713306427002,-3.875,25.4,2.3,3.875
2.0107364654541016,-3.5,25.4,2.3,3.5
2.045475959777832,-3.375,25.4,2.3,3.375
2.0616726875305176,-3.5625,25.4,2.3,3.5625000000000004
2.076659917831421,-3.5625,25.4,2.3,3.5625000000000004
2.0906593799591064,-3.5,25.4,2.3,3.5
2.12787127494812,-3.25,25.4,2.3,3.25
2.142651319503784,-2.5,25.4,2.3,2.5
2.1805214881896973,-2.3125,25.4,2.3,2.3125
2.1978228092193604,-1.8125,25.4,2.3,1.8125000000000002
2.2150261402130127,-1.625,25.4,2.3,1.625
2.2321295738220215,-1.5625,25.4,2.3,1.5625
2.248671770095825,-1.5625,25.4,2.3,1.5625
2.2824206352233887,-1.4375,25.4,2.3,1.4375
2.319291830062866,-1.0,25.4,2.3,1.0
2.355734348297119,-0.875,25.4,2.3,0.875
2.391005277633667,-0.875,25.4,2.3,0.875
2.407724142074585,-1.125,25.4,2.3,1.125
2.4228782653808594,-1.4375,25.4,2.3,1.4375
2.4366519451141357,-1.625,25.4,2.3,1.625
2.4727847576141357,-1.75,25.4,2.3,1.75
2.486670970916748,-1.4375,25.4,2.3,1.4375
2.5210583209991455,-1.25,25.4,2.3,1.25
2.5563058853149414,-1.0,25.4,2.3,1.0
2.572770357131958,-0.125,25.4,2.3,0.125
2.6090009212493896,0.0,25.4,2.3,-0.0
2.6268861293792725,0.0,25.4,2.3,-0.0
2.6634607315063477,0.0,25.4,2.3,-0.0
2.677931308746338,0.0,25.4,2.3,-0.0
2.713918447494507,0.0625,25.4,2.3,-0.0625
2.747694492340088,0.0625,25.4,2.3,-0.0625
2.7829015254974365,-0.125,25.4,2.3,0.125
2.7986347675323486,-0.5625,25.4,2.3,0.5625
2.812633514404297,-0.75,25.4,2.3,0.7500000000000001
2.8276960849761963,-0.875,25.4,2.3,0.875
2.86276912689209,-1.25,25.4,2.3,1.25
2.8976693153381348,-1.6875,25.4,2.3,1.6875
2.9126665592193604,-1.4375,25.4,2.3,1.4375
2.926607131958008,-1.4375,25.4,2.3,1.4375
2.9438705444335938,-1.625,25.4,2.3,1.625
2.9808034896850586,-1.75,25.4,2.3,1.75
2.99493408203125,-2.0625,25.4,2.3,2.0625
3.031636953353882,-2.0,25.4,2.3,2.0
3.06673002243042,-1.5625,25.4,2.3,1.5625
3.1014437675476074,-1.0625,25.4,2.3,1.0625
3.118326425552368,-0.0625,25.4,2.3,0.0625
3.1337642669677734,0.9375,25.4,2.3,-0.9374999999999999
3.1697328090667725,1.5625,25.4,2.3,-1.5625
3.185734510421753,4.4375,25.4,2.3,-4.4375
3.2016568183898926,5.375,25.4,2.3,-5.375
3.217674493789673,7.625,25.4,2.3,-7.625
3.2515292167663574,8.8125,25.4,2.3,-8.8125
3.267606735229492,13.0,25.4,2.3,-13.0
3.302769899368286,14.3125,25.4,2.3,-14.3125
3.3208017349243164,16.0,25.4,2.3,-16.0
3.3559422492980957,17.0625,25.4,2.3,-17.0625
3.372711420059204,18.9375,25.4,2.3,-18.9375
3.407416582107544,20.125,25.4,2.3,-20.0
3.42376446723938,22.125,25.4,2.3,-20.0
3.4591314792633057,22.5625,25.4,2.3,-20.0
3.492985725402832,23.625,25.4,2.3,-20.0
3.529069423675537,23.4375,25.4,2.3,-20.0
3.5457420349121094,23.0,25.4,2.3,-20.0
