Time (s),Pitch (deg),kp,kd,Correction (deg)
0.0266110897064209,-0.4375,25.4,2.3,0.4375
0.06167721748352051,-0.6875,25.4,2.3,0.6875
0.09666895866394043,-0.8125,25.4,2.3,0.8125
0.1325523853302002,-1.0,25.4,2.3,1.0
0.16915130615234375,-1.25,25.4,2.3,1.25
0.20440959930419922,-1.75,25.4,2.3,1.75
0.24034476280212402,-2.125,25.4,2.3,2.125
0.2758760452270508,-2.25,25.4,2.3,2.25
0.31153202056884766,-2.4375,25.4,2.3,2.4375
0.34833741188049316,-2.6875,25.4,2.3,2.6875
0.3827242851257324,-2.75,25.4,2.3,2.75
0.41986846923828125,-2.6875,25.4,2.3,2.6875
0.45337772369384766,-2.8125,25.4,2.3,2.8125
0.49044108390808105,-3.0,25.4,2.3,3.0000000000000004
0.5280733108520508,-2.5625,25.4,2.3,2.5625
0.5623421669006348,-2.125,25.4,2.3,2.125
0.597698450088501,-2.0,25.4,2.3,2.0
0.6315450668334961,5.5625,25.4,2.3,-5.5625
0.6685469150543213,5.375,25.4,2.3,-5.375
0.7033324241638184,5.3125,25.4,2.3,-5.3125
0.7391254901885986,5.375,25.4,2.3,-5.375
0.7756233215332031,5.5,25.4,2.3,-5.5
0.8110566139221191,5.4375,25.4,2.3,-5.4375
0.8455486297607422,5.25,25.4,2.3,-5.25
0.8812024593353271,5.1875,25.4,2.3,-5.1875
0.9169232845306396,5.375,25.4,2.3,-5.375
0.9522011280059814,5.5,25.4,2.3,-5.5
0.9893555641174316,5.75,25.4,2.3,-5.75
1.0243213176727295,6.0,25.4,2.3,-6.000000000000001
1.0605332851409912,6.1875,25.4,2.3,-6.1875
1.0941331386566162,6.3125,25.4,2.3,-6.3125
1.1301169395446777,6.25,25.4,2.3,-6.25
1.167137622833252,6.25,25.4,2.3,-6.25
1.2021970748901367,6.375,25.4,2.3,-6.375
1.2392241954803467,6.6875,25.4,2.3,-6.6875
1.2730176448822021,7.375,25.4,2.3,-7.375000000000001
1.3085827827453613,7.75,25.4,2.3,-7.75
1.3436224460601807,7.625,25.4,2.3,-7.625
1.379209041595459,7.6875,25.4,2.3,-7.687500000000001
1.41459059715271,7.6875,25.4,2.3,-7.687500000000001
1.450350284576416,7.6875,25.4,2.3,-7.687500000000001
1.485522985458374,7.375,25.4,2.3,-7.375000000000001
1.5219814777374268,7.1875,25.4,2.3,-7.1875
1.556312084197998,7.0,25.4,2.3,-7.0
1.5725243091583252,6.875,25.4,2.3,-6.875
1.5874879360198975,6.875,25.4,2.3,-6.875
1.6035914421081543,7.0,25.4,2.3,-7.0
1.640467643737793,6.625,25.4,2.3,-6.625
1.6753745079040527,-0.5625,25.4,2.3,0.5625
1.710512399673462,-12.4375,25.4,2.3,12.4375
1.747312068939209,-18.625,25.4,2.3,18.625
1.7811951637268066,-19.5625,25.4,2.3,19.5625
1.8185529708862305,-17.75,25.4,2.3,17.75
1.8519890308380127,-17.75,25.4,2.3,17.75
1.8883869647979736,-19.3125,25.4,2.3,19.3125
1.9261162281036377,-19.8125,25.4,2.3,19.8125
1.9607794284820557,-18.6875,25.4,2.3,18.6875
1.9765498638153076,-18.1875,25.4,2.3,18.1875
2.011037826538086,-18.1875,25.4,2.3,18.1875
2.026669502258301,-17.5625,25.4,2.3,17.5625
2.0425097942352295,-15.25,25.4,2.3,15.25
2.0584781169891357,-13.6875,25.4,2.3,13.687500000000002
2.0726125240325928,-9.875,25.4,2.3,9.875
2.0896341800689697,-7.8125,25.4,2.3,7.812500000000001
2.1065502166748047,-4.0625,25.4,2.3,4.0625
2.1224653720855713,-1.375,25.4,2.3,1.375
2.1398074626922607,-0.4375,25.4,2.3,0.4375
2.1770408153533936,1.0625,25.4,2.3,-1.0625
2.1938204765319824,3.625,25.4,2.3,-3.6250000000000004
2.2116189002990723,4.0,25.4,2.3,-4.0
2.2264935970306396,4.625,25.4,2.3,-4.625
2.260774850845337,4.8125,25.4,2.3,-4.8125
2.2959160804748535,4.9375,25.4,2.3,-4.9375
2.3328917026519775,4.875,25.4,2.3,-4.875
2.348428249359131,4.375,25.4,2.3,-4.375
2.36244535446167,4.25,25.4,2.3,-4.25
2.3785884380340576,4.3125,25.4,2.3,-4.3125
2.394704818725586,4.5,25.4,2.3,-4.5
2.4104487895965576,4.5,25.4,2.3,-4.5
2.4244613647460938,4.25,25.4,2.3,-4.25
2.4425735473632812,4.125,25.4,2.3,-4.125
2.460732936859131,4.0,25.4,2.3,-4.0
2.4754154682159424,4.0625,25.4,2.3,-4.0625
2.511631488800049,4.0625,25.4,2.3,-4.0625
2.52644944190979,3.3125,25.4,2.3,-3.3125
2.541435956954956,2.5,25.4,2.3,-2.5
2.5785672664642334,2.125,25.4,2.3,-2.125
2.61318302154541,1.3125,25.4,2.3,-1.3125
2.649531126022339,1.0625,25.4,2.3,-1.0625
2.664884567260742,0.0625,25.4,2.3,-0.0625
2.701693058013916,-0.0625,25.4,2.3,0.0625
2.717445135116577,0.25,25.4,2.3,-0.25
2.7345943450927734,0.4375,25.4,2.3,-0.4375
2.751448631286621,0.3125,25.4,2.3,-0.3125
2.787433624267578,0.125,25.4,2.3,-0.125
2.823544502258301,-0.8125,25.4,2.3,0.8125
2.8595004081726074,-1.0625,25.4,2.3,1.0625
2.87442684173584,-0.625,25.4,2.3,0.625
2.9081430435180664,-0.5625,25.4,2.3,0.5625
2.9437599182128906,-0.6875,25.4,2.3,0.6875
2.9615633487701416,-0.8125,25.4,2.3,0.8125
2.977525234222412,-0.875,25.4,2.3,0.875
3.011775016784668,-0.875,25.4,2.3,0.875
3.0285987854003906,-0.75,25.4,2.3,0.7500000000000001
3.0436127185821533,-0.75,25.4,2.3,0.7500000000000001
3.0594522953033447,-0.75,25.4,2.3,0.7500000000000001
3.0766122341156006,-0.8125,25.4,2.3,0.8125
3.092503309249878,-0.75,25.4,2.3,0.7500000000000001
3.1286427974700928,-0.6875,25.4,2.3,0.6875
3.1455276012420654,-0.25,25.4,2.3,0.25
3.1811089515686035,-0.0625,25.4,2.3,0.0625
3.1985485553741455,0.0,25.4,2.3,-0.0
3.2144482135772705,-0.1875,25.4,2.3,0.18750000000000003
3.2294230461120605,-0.3125,25.4,2.3,0.3125
3.243406295776367,-0.5625,25.4,2.3,0.5625
3.280012845993042,-0.75,25.4,2.3,0.7500000000000001
3.314591646194458,-2.125,25.4,2.3,2.125
3.329530954360962,-3.6875,25.4,2.3,3.6875000000000004
3.364137649536133,-5.0,25.4,2.3,5.0
3.380491256713867,-7.5,25.4,2.3,7.499999999999999
3.396407127380371,-9.375,25.4,2.3,9.375
3.4314093589782715,-11.3125,25.4,2.3,11.3125
3.451606512069702,-13.9375,25.4,2.3,13.9375
3.4673995971679688,-15.4375,25.4,2.3,15.4375
3.481900930404663,-16.5625,25.4,2.3,16.5625
3.5192928314208984,-17.0,25.4,2.3,17.0
3.53338623046875,-18.0,25.4,2.3,18.0
3.57023549079895,-18.25,25.4,2.3,18.25
3.6046745777130127,-19.4375,25.4,2.3,19.4375
3.621471643447876,-19.6875,25.4,2.3,19.6875
3.6375913619995117,-19.8125,25.4,2.3,19.8125
3.6523571014404297,-19.875,25.4,2.3,19.875
3.6715166568756104,-19.8125,25.4,2.3,19.8125
3.7076256275177,-19.4375,25.4,2.3,19.4375
3.724738597869873,-18.4375,25.4,2.3,18.4375
3.7405433654785156,-18.0,25.4,2.3,18.0
3.7564024925231934,-16.75,25.4,2.3,16.75
3.7713894844055176,-15.0625,25.4,2.3,15.062500000000002
3.8069007396698,-14.125,25.4,2.3,14.125
3.8424088954925537,-9.6875,25.4,2.3,9.6875
3.860520362854004,-5.875,25.4,2.3,5.875
3.89530086517334,-3.875,25.4,2.3,3.875
3.9315314292907715,-1.8125,25.4,2.3,1.8125000000000002
3.947366237640381,-0.4375,25.4,2.3,0.4375
3.9816126823425293,0.6875,25.4,2.3,-0.6875
4.016930818557739,2.625,25.4,2.3,-2.625
4.053492784500122,4.3125,25.4,2.3,-4.3125
4.089111566543579,4.6875,25.4,2.3,-4.6875
4.105498313903809,5.0,25.4,2.3,-5.0
4.121371746063232,5.125,25.4,2.3,-5.125
4.1551220417022705,5.4375,25.4,2.3,-5.4375
4.191586494445801,5.875,25.4,2.3,-5.875
4.2294602394104,6.1875,25.4,2.3,-6.1875
4.264196157455444,6.75,25.4,2.3,-6.75
4.300325155258179,7.1875,25.4,2.3,-7.1875
4.3340513706207275,9.4375,25.4,2.3,-9.4375
4.370770454406738,11.75,25.4,2.3,-11.75
4.40678071975708,14.875,25.4,2.3,-14.875
4.442053318023682,18.125,25.4,2.3,-18.125
4.479069948196411,20.75,25.4,2.3,-20.75
4.513882875442505,23.75,25.4,2.3,-23.75
4.548243761062622,24.875,25.4,2.3,-24.875
4.58403205871582,26.75,25.4,2.3,-26.75
4.5993146896362305,28.375,25.4,2.3,-28.375
4.615500450134277,29.5625,25.4,2.3,-29.5625
4.650345802307129,30.1875,25.4,2.3,-30.1875
4.664309501647949,30.875,25.4,2.3,-30.875
4.6993865966796875,30.0625,25.4,2.3,-30.0625
4.7132887840271,24.1875,25.4,2.3,-24.1875
4.729686737060547,21.875,25.4,2.3,-21.875
4.746431827545166,16.9375,25.4,2.3,-16.9375
4.762292146682739,12.4375,25.4,2.3,-12.4375
4.776307582855225,10.5,25.4,2.3,-10.5
4.811368465423584,7.5625,25.4,2.3,-7.5625
4.845544338226318,4.875,25.4,2.3,-4.875
4.86354923248291,3.1875,25.4,2.3,-3.1875
4.878284931182861,2.9375,25.4,2.3,-2.9375
4.913323402404785,2.375,25.4,2.3,-2.375
4.928572416305542,1.8125,25.4,2.3,-1.8125000000000002
4.963315486907959,1.625,25.4,2.3,-1.625
4.979384183883667,1.375,25.4,2.3,-1.375
4.9942779541015625,1.375,25.4,2.3,-1.375
5.0102949142456055,1.5625,25.4,2.3,-1.5625
5.0265257358551025,2.25,25.4,2.3,-2.25
5.063207149505615,2.9375,25.4,2.3,-2.9375
5.100081205368042,3.0625,25.4,2.3,-3.0625
5.11531925201416,3.25,25.4,2.3,-3.25
5.129379749298096,3.375,25.4,2.3,-3.375
5.168326377868652,3.625,25.4,2.3,-3.6250000000000004
5.2022998332977295,3.4375,25.4,2.3,-3.4375
5.23859715461731,2.6875,25.4,2.3,-2.6875
5.254326343536377,1.3125,25.4,2.3,-1.3125
5.272307395935059,1.0625,25.4,2.3,-1.0625
5.287361145019531,0.625,25.4,2.3,-0.625
5.302279472351074,-0.0625,25.4,2.3,0.0625
5.31948184967041,-0.625,25.4,2.3,0.625
5.335474252700806,-2.1875,25.4,2.3,2.1875
5.371466875076294,-3.125,25.4,2.3,3.125
