Time (s),Pitch (deg),kp,kd,Correction (deg)
0.02672100067138672,0.125,25.4,2.3,-0.125
0.0621945858001709,0.1875,25.4,2.3,-0.18750000000000003
0.09772181510925293,0.125,25.4,2.3,-0.125
0.13412117958068848,0.0,25.4,2.3,-0.0
0.1696023941040039,0.1875,25.4,2.3,-0.18750000000000003
0.20468449592590332,0.0,25.4,2.3,-0.0
0.24059581756591797,0.0625,25.4,2.3,-0.0625
0.27672767639160156,0.125,25.4,2.3,-0.125
0.293349027633667,0.625,25.4,2.3,-0.625
0.3101778030395508,0.8125,25.4,2.3,-0.8125
0.3442873954772949,1.125,25.4,2.3,-1.125
0.3799779415130615,1.25,25.4,2.3,-1.25
0.41628479957580566,0.875,25.4,2.3,-0.875
0.450899600982666,-0.5,25.4,2.3,0.5
0.4877314567565918,-1.3125,25.4,2.3,1.3125
0.5021719932556152,-1.625,25.4,2.3,1.625
0.5394546985626221,-1.625,25.4,2.3,1.625
0.5551633834838867,-1.75,25.4,2.3,1.75
0.5895476341247559,-2.3125,25.4,2.3,2.3125
0.6052079200744629,-2.625,25.4,2.3,2.625
0.6400253772735596,-2.5,25.4,2.3,2.5
0.6572713851928711,-2.1875,25.4,2.3,2.1875
0.672170877456665,-1.8125,25.4,2.3,1.8125000000000002
0.7063179016113281,-1.75,25.4,2.3,1.75
0.7221996784210205,-1.75,25.4,2.3,1.75
0.7565479278564453,-1.625,25.4,2.3,1.625
0.7922379970550537,-0.5625,25.4,2.3,0.5625
0.8278617858886719,0.9375,25.4,2.3,-0.9374999999999999
0.8442142009735107,3.6875,25.4,2.3,-3.6875000000000004
0.8601408004760742,4.1875,25.4,2.3,-4.1875
0.8934190273284912,4.5,25.4,2.3,-4.5
0.91025710105896,3.875,25.4,2.3,-3.875
0.9445464611053467,3.5625,25.4,2.3,-3.5625000000000004
0.961341142654419,4.375,25.4,2.3,-4.375
0.9762060642242432,4.6875,25.4,2.3,-4.6875
0.991147518157959,5.4375,25.4,2.3,-5.4375
1.0093069076538086,5.8125,25.4,2.3,-5.8125
1.0253229141235352,6.75,25.4,2.3,-6.75
1.0401334762573242,7.5,25.4,2.3,-7.499999999999999
1.0747888088226318,7.75,25.4,2.3,-7.75
1.1093573570251465,8.5625,25.4,2.3,-8.5625
1.1254489421844482,8.0625,25.4,2.3,-8.0625
1.1412360668182373,6.8125,25.4,2.3,-6.8125
1.176807165145874,6.1875,25.4,2.3,-6.1875
1.1934292316436768,3.375,25.4,2.3,-3.375
1.229630708694458,1.6875,25.4,2.3,-1.6875
1.2670016288757324,-0.5,25.4,2.3,0.5
1.2811648845672607,-3.125,25.4,2.3,3.125
1.3164019584655762,-3.5,25.4,2.3,3.5
1.3321583271026611,-3.9375,25.4,2.3,3.9375
1.367555856704712,-4.125,25.4,2.3,4.125
1.403587818145752,-4.75,25.4,2.3,4.75
1.4226808547973633,-4.0,25.4,2.3,4.0
1.458552598953247,-3.75,25.4,2.3,3.7499999999999996
1.4923882484436035,-3.875,25.4,2.3,3.875
1.528794288635254,-4.25,25.4,2.3,4.25
1.5463502407073975,-4.0625,25.4,2.3,4.0625
1.5819625854492188,-4.0,25.4,2.3,4.0
1.6004059314727783,-3.375,25.4,2.3,3.375
1.6374342441558838,-2.125,25.4,2.3,2.125
1.6510980129241943,2.75,25.4,2.3,-2.75
1.66945219039917,4.0,25.4,2.3,-4.0
1.6852147579193115,5.8125,25.4,2.3,-5.8125
1.720259666442871,7.0,25.4,2.3,-7.0
1.7362267971038818,9.25,25.4,2.3,-9.25
1.7511954307556152,11.375,25.4,2.3,-11.375
1.7869813442230225,12.5,25.4,2.3,-12.5
1.8218770027160645,17.875,25.4,2.3,-17.875
1.836111068725586,22.1875,25.4,2.3,-22.1875
1.8512449264526367,24.75,25.4,2.3,-24.75
1.8692150115966797,25.875,25.4,2.3,-25.875
1.8841361999511719,28.0625,25.4,2.3,-28.0625
1.8991811275482178,29.0,25.4,2.3,-29.000000000000004
1.9347341060638428,30.5,25.4,2.3,-30.5
1.9698059558868408,29.75,25.4,2.3,-29.75
1.9851531982421875,25.9375,25.4,2.3,-25.9375
2.0001025199890137,23.25,25.4,2.3,-23.25
2.015089988708496,22.125,25.4,2.3,-22.125
2.031480550765991,20.625,25.4,2.3,-20.625
2.068190813064575,20.0625,25.4,2.3,-20.0625
