Time (s),Pitch (deg),kp,kd,Correction (deg)
0.007627010345458984,0.3125,35.4,5.3,-0.3125
0.04138636589050293,0.3125,35.4,5.3,-0.3125
0.07719731330871582,0.4375,35.4,5.3,-0.4375
0.09165668487548828,2.8125,35.4,5.3,-2.8125
0.12776637077331543,3.6875,35.4,5.3,-3.6875000000000004
0.14493465423583984,6.9375,35.4,5.3,-6.9375
0.1799628734588623,8.0625,35.4,5.3,-8.0625
0.21593070030212402,8.4375,35.4,5.3,-8.4375
0.24915790557861328,7.9375,35.4,5.3,-7.937500000000001
0.2856760025024414,7.6875,35.4,5.3,-7.687500000000001
0.32133936882019043,8.125,35.4,5.3,-8.125
0.33763647079467773,8.75,35.4,5.3,-8.75
0.35175228118896484,9.0625,35.4,5.3,-9.0625
0.3890397548675537,9.0625,35.4,5.3,-9.0625
0.4228971004486084,9.5,35.4,5.3,-9.5
0.44078564643859863,10.5625,35.4,5.3,-10.5625
0.4752986431121826,11.5,35.4,5.3,-11.5
0.49275827407836914,13.0,35.4,5.3,-13.0
0.5280942916870117,13.375,35.4,5.3,-13.375
0.5447361469268799,14.5,35.4,5.3,-14.500000000000002
0.581024169921875,15.1875,35.4,5.3,-15.1875
0.6180520057678223,16.125,35.4,5.3,-16.125
0.6325886249542236,17.5625,35.4,5.3,-17.5625
0.6664843559265137,17.9375,35.4,5.3,-17.9375
0.6826517581939697,19.0625,35.4,5.3,-19.0625
0.7169022560119629,19.3125,35.4,5.3,-19.3125
0.7529888153076172,20.75,35.4,5.3,-20.0
0.788165807723999,22.5625,35.4,5.3,-20.0
0.8027782440185547,24.8125,35.4,5.3,-20.0
0.8186063766479492,25.1875,35.4,5.3,-20.0
0.8537275791168213,25.6875,35.4,5.3,-20.0
0.8888990879058838,26.6875,35.4,5.3,-20.0
0.9242198467254639,29.25,35.4,5.3,-20.0
0.9405348300933838,31.375,35.4,5.3,-20.0
0.9597837924957275,31.5625,35.4,5.3,-20.0
0.9967660903930664,31.6875,35.4,5.3,-20.0
1.0311086177825928,33.1875,35.4,5.3,-20.0
1.065674066543579,35.5625,35.4,5.3,-20.0
1.0816459655761719,38.9375,35.4,5.3,-20.0
1.0976107120513916,39.5625,35.4,5.3,-20.0
1.131943702697754,40.375,35.4,5.3,-20.0
1.168682336807251,42.4375,35.4,5.3,-20.0
1.2028083801269531,47.0,35.4,5.3,-20.0
1.2395391464233398,51.0,35.4,5.3,-20.0
1.25687575340271,55.0625,35.4,5.3,-20.0
1.2925097942352295,56.75,35.4,5.3,-20.0
1.3260505199432373,59.6875,35.4,5.3,-20.0
1.361053466796875,65.875,35.4,5.3,-20.0
1.3985223770141602,71.4375,35.4,5.3,-20.0
1.413536548614502,77.3125,35.4,5.3,-20.0
1.4501967430114746,78.25,35.4,5.3,-20.0
1.486438512802124,80.1875,35.4,5.3,-20.0
1.5218687057495117,83.25,35.4,5.3,-20.0
1.5571472644805908,86.125,35.4,5.3,-20.0
1.5738329887390137,88.75,35.4,5.3,-20.0
1.5905773639678955,88.9375,35.4,5.3,-20.0
1.6241538524627686,87.9375,35.4,5.3,-20.0
1.6415832042694092,83.625,35.4,5.3,-20.0
1.6759650707244873,79.8125,35.4,5.3,-20.0
1.7119674682617188,71.3125,35.4,5.3,-20.0
1.7318453788757324,66.1875,35.4,5.3,-20.0
1.7672438621520996,64.25,35.4,5.3,-20.0
1.8010497093200684,61.75,35.4,5.3,-20.0
1.8176522254943848,60.0,35.4,5.3,-20.0
1.8516559600830078,58.4375,35.4,5.3,-20.0
1.8896293640136719,55.375,35.4,5.3,-20.0
1.9069058895111084,51.5625,35.4,5.3,-20.0
1.9435431957244873,50.1875,35.4,5.3,-20.0
1.9575073719024658,47.9375,35.4,5.3,-20.0
1.9931402206420898,46.25,35.4,5.3,-20.0
2.0074806213378906,43.5625,35.4,5.3,-20.0
2.0448544025421143,41.4375,35.4,5.3,-20.0
2.0605456829071045,38.4375,35.4,5.3,-20.0
2.095111846923828,36.5,35.4,5.3,-20.0
2.110546350479126,33.5625,35.4,5.3,-20.0
2.1264781951904297,31.4375,35.4,5.3,-20.0
2.1445722579956055,29.5,35.4,5.3,-20.0
2.1803219318389893,28.5,35.4,5.3,-20.0
2.195822238922119,24.25,35.4,5.3,-20.0
2.232264995574951,22.25,35.4,5.3,-20.0
2.2658748626708984,19.5625,35.4,5.3,-19.5625
2.281573534011841,16.3125,35.4,5.3,-16.3125
2.296443223953247,15.5625,35.4,5.3,-15.562499999999998
2.3302245140075684,-32.4375,35.4,5.3,20.0
2.3647348880767822,-29.5,35.4,5.3,20.0
2.381579875946045,-27.25,35.4,5.3,20.0
2.4169883728027344,-25.625,35.4,5.3,20.0
2.4512526988983154,-23.1875,35.4,5.3,20.0
2.4881460666656494,-22.6875,35.4,5.3,20.0
2.5218658447265625,-22.875,35.4,5.3,20.0
2.537496328353882,-22.875,35.4,5.3,20.0
2.572218179702759,-22.5,35.4,5.3,20.0
2.6093180179595947,-21.75,35.4,5.3,20.0
2.6235227584838867,-22.75,35.4,5.3,20.0
2.6415226459503174,-23.125,35.4,5.3,20.0
2.6565003395080566,-24.0,35.4,5.3,20.0
2.6714630126953125,-25.0625,35.4,5.3,20.0
2.7075464725494385,-25.6875,35.4,5.3,20.0
2.7224769592285156,-28.5625,35.4,5.3,20.0
2.738506317138672,-29.25,35.4,5.3,20.0
2.7556591033935547,-30.5625,35.4,5.3,20.0
2.7727956771850586,-31.875,35.4,5.3,20.0
2.789417266845703,-32.5625,35.4,5.3,20.0
2.8034889698028564,-34.0625,35.4,5.3,20.0
2.839747905731201,-34.875,35.4,5.3,20.0
2.8738555908203125,-38.8125,35.4,5.3,20.0
2.911653995513916,-42.25,35.4,5.3,20.0
2.9278252124786377,-46.0,35.4,5.3,20.0
2.9446067810058594,-47.25,35.4,5.3,20.0
2.9791173934936523,-47.6875,35.4,5.3,20.0
3.014099597930908,-50.0,35.4,5.3,20.0
3.0304641723632812,-52.75,35.4,5.3,20.0
3.064121961593628,-54.6875,35.4,5.3,20.0
3.1006603240966797,-57.4375,35.4,5.3,20.0
3.137054681777954,-60.75,35.4,5.3,20.0
3.1514744758605957,-63.5,35.4,5.3,20.0
3.1860594749450684,-64.1875,35.4,5.3,20.0
3.2208399772644043,-66.375,35.4,5.3,20.0
3.2387614250183105,-68.6875,35.4,5.3,20.0
3.273817777633667,-70.25,35.4,5.3,20.0
3.2894210815429688,-72.6875,35.4,5.3,20.0
3.3065731525421143,-74.5625,35.4,5.3,20.0
3.343031406402588,-76.1875,35.4,5.3,20.0
3.3798346519470215,-78.5625,35.4,5.3,20.0
3.413896083831787,-81.1875,35.4,5.3,20.0
3.4514381885528564,-82.1875,35.4,5.3,20.0
3.4862637519836426,-82.5625,35.4,5.3,20.0
3.5019006729125977,-82.0,35.4,5.3,20.0
3.537893533706665,-81.75,35.4,5.3,20.0
3.5548770427703857,-80.5625,35.4,5.3,20.0
3.591064691543579,-79.875,35.4,5.3,20.0
3.608599901199341,-76.6875,35.4,5.3,20.0
3.623415946960449,-74.5,35.4,5.3,20.0
3.6384060382843018,-73.4375,35.4,5.3,20.0
3.6740050315856934,-71.5,35.4,5.3,20.0
3.690426826477051,-68.8125,35.4,5.3,20.0
3.704505443572998,-66.6875,35.4,5.3,20.0
3.7214949131011963,-65.6875,35.4,5.3,20.0
3.73846435546875,-63.6875,35.4,5.3,20.0
3.753429412841797,-61.5,35.4,5.3,20.0
3.771759271621704,-60.25,35.4,5.3,20.0
3.808518409729004,-57.75,35.4,5.3,20.0
3.8224148750305176,-52.1875,35.4,5.3,20.0
3.859196662902832,-50.75,35.4,5.3,20.0
3.87542462348938,-45.8125,35.4,5.3,20.0
3.8939244747161865,-44.6875,35.4,5.3,20.0
3.930091381072998,-42.6875,35.4,5.3,20.0
3.944441080093384,-39.1875,35.4,5.3,20.0
3.9802253246307373,-38.1875,35.4,5.3,20.0
3.995393753051758,-33.6875,35.4,5.3,20.0
4.028879165649414,-32.5,35.4,5.3,20.0
4.064121961593628,-27.75,35.4,5.3,20.0
4.08245587348938,-24.125,35.4,5.3,20.0
4.09836745262146,-21.9375,35.4,5.3,20.0
4.112360239028931,-20.25,35.4,5.3,20.0
4.1478190422058105,-19.625,35.4,5.3,19.625
4.163069725036621,-15.875,35.4,5.3,15.875000000000002
4.198670148849487,-14.5625,35.4,5.3,14.5625
4.214604616165161,-9.25,35.4,5.3,9.25
4.250655889511108,-8.0,35.4,5.3,8.0
4.2906036376953125,-4.4375,35.4,5.3,4.4375
4.324238300323486,-1.1875,35.4,5.3,1.1875
4.342406272888184,0.9375,35.4,5.3,-0.9374999999999999
